	name	kind	query	description	comment	url	source	ccd	in_ccd
106	Z1098875885	SMILES	CN(C)S(=O)(=O)c1ccc(CN2CCCC2(C)C)o1		ENAMINE library		ENAMINE		False
107	Z1212004944	SMILES	CC(C(=O)N1CCCCC1c1nccs1)n1cccn1		ENAMINE library		ENAMINE		False
108	Z212242116	SMILES	CCc1nnc(CN2CCCCC2C)o1		ENAMINE library		ENAMINE		False
109	Z368565454	SMILES	CC(=O)c1c(F)cccc1N1CCOCC1C		ENAMINE library		ENAMINE		False
110	Z141621850	SMILES	Clc1snnc1CN1CCCC1c1cccs1		ENAMINE library		ENAMINE		False
111	Z291482950	SMILES	Cc1noc(C(C)Sc2ccccc2F)n1		ENAMINE library		ENAMINE		False
112	Z147646804	SMILES	O=C(O)CSC1CCCC1		ENAMINE library		ENAMINE		False
113	Z104484390	SMILES	COC(=O)C(F)(OC)C(F)(F)F		ENAMINE library		ENAMINE		False
114	Z228457822	SMILES	Nc1ccccc1SCC(F)(F)F		ENAMINE library		ENAMINE		False
115	Z1187786372	SMILES	c1ccc(-c2cccnc2)nc1		ENAMINE library		ENAMINE		False
116	Z1217227026	SMILES	CC1CC(c2ccsc2)CN1		ENAMINE library		ENAMINE		False
117	Z1171159997	SMILES	CCSC1(CN)CCOCC1		ENAMINE library		ENAMINE		False
118	Z104474290	SMILES	COC(=O)Cc1cccn1C		ENAMINE library		ENAMINE		False
119	Z159528162	SMILES	CNC(C)c1cccc(Cl)c1		ENAMINE library		ENAMINE		False
120	Z169506470	SMILES	c1ccc(COC2CCNCC2)cc1		ENAMINE library		ENAMINE		False
121	Z147646926	SMILES	CN(C)C1(CN)CCCCCC1		ENAMINE library		ENAMINE		False
122	Z220358230	SMILES	CC(=O)c1c(C)cc(C)nc1C		ENAMINE library		ENAMINE		False
123	Z361940344	SMILES	Cc1cc(CN(C)C(=O)c2ccc(Cl)cc2Cl)no1		ENAMINE library		ENAMINE		False
124	Z240529270	SMILES	Cc1ccc(C(=O)N(C)Cc2cnn(C)c2)s1		ENAMINE library		ENAMINE		False
125	Z291278562	SMILES	NC1CC[C@H]2CN(Cc3ccccc3)C[C@H]2C1		ENAMINE library		ENAMINE		False
126	Z511587202	SMILES	Cc1cc(C(=O)N2CCOC3CCCCC32)on1		ENAMINE library		ENAMINE		False
127	Z51813722	SMILES	CC1(C(=O)N2CCCCC2)Cc2ccccc2C(=O)O1		ENAMINE library		ENAMINE		False
128	Z846271178	SMILES	CC(C)C1CCCN1C(=O)c1cnn2cccnc12		ENAMINE library		ENAMINE		False
129	Z1277620446	SMILES	CCN(C)c1cccc(NC(=O)N2CC3CC=CCC3C2)c1		ENAMINE library		ENAMINE		False
130	Z314446484	SMILES	CCN(C(=O)c1cccc(C(F)(F)F)c1)C1CC1		ENAMINE library		ENAMINE		False
131	Z165380164	SMILES	Cc1nc(CSC2CCCC2)no1		ENAMINE library		ENAMINE		False
132	Z279897750	SMILES	CC(C1CC1)N(C)S(C)(=O)=O		ENAMINE library		ENAMINE		False
133	Z1065906632	SMILES	Cc1noc(C)c1NCc1cccc(F)c1		ENAMINE library		ENAMINE		False
134	Z900337452	SMILES	Fc1cccc(CN2CCN(C3CC3)CC2)c1		ENAMINE library		ENAMINE		False
135	Z1139331311	SMILES	CN1CCCC1C1CCCN1C(=O)CC1CCCO1		ENAMINE library		ENAMINE		False
136	Z343745526	SMILES	CSCCC(=O)N1CC(C)OCC1C		ENAMINE library		ENAMINE		False
137	Z1013740564	SMILES	CNC(C)C(C)S(C)(=O)=O		ENAMINE library		ENAMINE		False
138	Z1259340319	SMILES	CC(N)CCc1cccn1C		ENAMINE library		ENAMINE		False
139	Z907824078	SMILES	Cn1cc(CC(=O)N2CCOC3CCCC32)c2ccccc21		ENAMINE library		ENAMINE		False
140	Z53111048	SMILES	c1cc(CCN2CCCCCCC2)ccn1		ENAMINE library		ENAMINE		False
141	Z1266852599	SMILES	Cc1nc2n(n1)CCCC2N		ENAMINE library		ENAMINE		False
142	Z381677928	SMILES	Cc1ccc(C(CN)N2CCOCC2)s1		ENAMINE library		ENAMINE		False
143	Z408748836	SMILES	Cc1nc(C(C)C)sc1C(=O)N1CCOC(C)(C)C1		ENAMINE library		ENAMINE		False
144	Z987515108	SMILES	Cn1cc(CN2CCCN(C(=O)c3ccoc3)CC2)cn1		ENAMINE library		ENAMINE		False
145	Z1102953727	SMILES	Cn1cc(C2CCCN2C(=O)c2cscn2)cn1		ENAMINE library		ENAMINE		False
146	Z756099216	SMILES	CNC(C)c1cccc(-c2ccncc2)c1		ENAMINE library		ENAMINE		False
147	Z513795958	SMILES	Cc1ccc(CC(N)c2ccccn2)cc1		ENAMINE library		ENAMINE		False
148	Z57932525	SMILES	O=C(O)CSC(F)(F)F		ENAMINE library		ENAMINE		False
149	Z1255403943	SMILES	COC(=O)C1CCNc2ccccc21		ENAMINE library		ENAMINE		False
150	Z147652246	SMILES	COC(=O)CC(C)N.Cl		ENAMINE library		ENAMINE		False
151	Z802590376	SMILES	CNC(C)c1sc(C(C)C)nc1C		ENAMINE library		ENAMINE		False
152	Z1218341613	SMILES	c1ccc(CN2CCCCC2c2ccco2)nc1		ENAMINE library		ENAMINE		False
153	Z1146813499	SMILES	O=C(OC1CCOC1)c1ccccc1Cl		ENAMINE library		ENAMINE		False
154	Z1139316293	SMILES	Cc1cc(C)n(CC2CCCCN2C(=O)C2CCOC2)n1		ENAMINE library		ENAMINE		False
155	Z729029012	SMILES	Cc1nccc(C(=O)N(C)Cc2c(F)cccc2Cl)n1		ENAMINE library		ENAMINE	PJS	True
156	Z1289784769	SMILES	CC(C)C1CN(CC(C)(C)O)CCS1		ENAMINE library		ENAMINE		False
157	Z317054194	SMILES	CN(C)c1ncc(CN)n1C		ENAMINE library		ENAMINE		False
158	Z266463772	SMILES	Cc1noc(CNc2ccccc2)n1		ENAMINE library		ENAMINE		False
159	Z316258722	SMILES	O=C(O)COC1CCCCC1		ENAMINE library		ENAMINE	01Z	True
160	Z972225978	SMILES	CC(C)N(C)C(=O)C1CSCN1C(=O)c1ccncc1		ENAMINE library		ENAMINE		False
161	Z337709402	SMILES	CNCC1OCCc2ccccc21		ENAMINE library		ENAMINE		False
162	Z20241764	SMILES	CC1CCCCN1C(=O)CSc1nnc2ccccn12		ENAMINE library		ENAMINE		False
163	Z1233172467	SMILES	CN1C(=O)CC(CO)C1c1cccs1		ENAMINE library		ENAMINE		False
164	Z53825214	SMILES	CCS(=O)(=O)NCc1cccnc1		ENAMINE library		ENAMINE		False
165	Z54078455	SMILES	CS(=O)(=O)NCC1CCCO1		ENAMINE library		ENAMINE		False
166	Z90913382	SMILES	Cc1cc(C(=O)N(C)Cc2c(F)cccc2Cl)on1		ENAMINE library		ENAMINE		False
167	Z1142782918	SMILES	Cc1cc(CN2CC(n3nc(C)cc3C)C2)on1		ENAMINE library		ENAMINE		False
168	Z1143363482	SMILES	Cc1ncn(Cc2ncc(C(C)(C)C)o2)c1C		ENAMINE library		ENAMINE		False
169	Z425188196	SMILES	COc1cccc(C(=O)N2CCCC2c2cc(C)no2)c1		ENAMINE library		ENAMINE		False
170	Z733308538	SMILES	CN(C)CCn1cc(Br)cn1		ENAMINE library		ENAMINE		False
171	Z1013040158	SMILES	CCn1ccnc1CN1CCCNCC1		ENAMINE library		ENAMINE		False
172	Z44048013	SMILES	COCC(=O)N1CCSc2ccccc21		ENAMINE library		ENAMINE		False
173	Z228586242	SMILES	Cc1ccc(OC(F)F)c(C(C)O)c1		ENAMINE library		ENAMINE		False
174	Z237754566	SMILES	CCNS(=O)(=O)N(CC)CC		ENAMINE library		ENAMINE		False
175	Z385404236	SMILES	Cc1c(C2CC2)nn(-c2ccccc2)c1N		ENAMINE library		ENAMINE		False
176	Z317027126	SMILES	NCC1CCN(CC(F)(F)F)C1		ENAMINE library		ENAMINE		False
177	Z317269002	SMILES	C1CCC(COC2CCNCC2)OC1		ENAMINE library		ENAMINE		False
